CMTE_ID,CMTE_NM,CAND_ID,CAND_NAME,CAND_OFFICE,CAND_STATE,CAND_OFFICE_DISTRICT,CAND_PTY_AFFILIATION,TRANSACTION_DT,TRANSACTION_AMT,TRANSACTION_TP,COMMUNICATION_TP,COMMUNICATION_CLASS,SUPPORT_OPPOSE_IND,IMAGE_NUM,LINE_NUM,FORM_TP_CD,SCHED_TP_CD,TRAN_ID,SUB_ID,FILE_NUM,RPT_YR,CAND_STATE_DESCRIPTION,CAND_PTY_AFFILIATION_DESCRIPTION,PURPOSE
"C70000112","AFL-CIO ","H2CA20094","VALADAO, DAVID","H","CA","21","REP","20140813","9","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?14031311051","","F7","F76","F76102414105181","2111320141231344256","968468","2014","CALIFORNIA","Republican Party",""
"C70000112","AFL-CIO ","S4IA00129","ERNST, JONI K","S","IA","00","REP","20140814","22023","24N","DM","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?14031311051","","F7","F76","F76102414105183","2111320141231344258","968468","2014","IOWA","Republican Party",""
"C70000112","AFL-CIO ","S4CO00395","GARDNER, CORY","S","CO","00","REP","20140814","17703","24N","DM","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?14031311051","","F7","F76","F76102414105184","2111320141231344259","968468","2014","COLORADO","Republican Party",""
"C70000112","AFL-CIO ","S4MI00363","LAND, TERRI LYNN","S","MI","00","REP","20140814","5","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?14031311051","","F7","F76","F76102414105185","2111320141231344260","968468","2014","MICHIGAN","Republican Party",""
"C70000112","AFL-CIO ","S4MI00363","LAND, TERRI LYNN","S","MI","00","REP","20140814","28181","24N","DM","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?14031311052","","F7","F76","F76102414105286","2111320141231344261","968468","2014","MICHIGAN","Republican Party",""
"C70000112","AFL-CIO ","H0MI01088","BENISHEK, DANIEL J. M.D.","H","MI","01","REP","20140815","328","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?14031311052","","F7","F76","F76102414105291","2111320141231344266","968468","2014","MICHIGAN","Republican Party",""
"C70000112","AFL-CIO ","H0CA19173","DENHAM, JEFF","H","CA","10","REP","20140913","23","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?14031311058","","F7","F76","F761024141058347","2111320141231344522","968468","2014","CALIFORNIA","Republican Party",""
"C70000112","AFL-CIO ","S4CO00395","GARDNER, CORY","S","CO","00","REP","20140826","11","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?14031311053","","F7","F76","F761024141053166","2111320141231344341","968468","2014","COLORADO","Republican Party",""
"C70000112","AFL-CIO ","S4MI00363","LAND, TERRI LYNN","S","MI","00","REP","20140826","9","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?14031311053","","F7","F76","F761024141053167","2111320141231344342","968468","2014","MICHIGAN","Republican Party",""
"C70000112","AFL-CIO ","S4MI00363","LAND, TERRI LYNN","S","MI","00","REP","20141013","48","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?14031334901","","F7","F76","F760127154901222","2020820151238228102","987448","2014","MICHIGAN","Republican Party",""
"C70000112","AFL-CIO ","S2KY00012","MCCONNELL, MITCH","S","KY","00","REP","20141013","810","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?14031334901","","F7","F76","F760127154901224","2020820151238228104","987448","2014","KENTUCKY","Republican Party",""
"C70000112","AFL-CIO ","S4NC00162","TILLIS, THOM R","S","NC","00","REP","20141013","142","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?14031334901","","F7","F76","F760127154901229","2020820151238228109","987448","2014","NORTH CAROLINA","Republican Party",""
"C70000112","AFL-CIO ","S4IA00129","ERNST, JONI K","S","IA","00","REP","20141015","8","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?14031334903","","F7","F76","F760127154903284","2020820151238228164","987448","2014","IOWA","Republican Party",""
"C70000112","AFL-CIO ","H4NH02241","GARCIA, MARILINDA","H","NH","02","REP","20141015","180","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?14031334903","","F7","F76","F760127154903285","2020820151238228165","987448","2014","NEW HAMPSHIRE","Republican Party",""
