CANDIDATE_ID,CANDIDATE_NAME,CANDIDATE_OFFICE,CANDIDATE_STATE,CANDIDATE_DISTRICT,COMMITTEE_ID,COMMITTEE_NAME,SB_IMAGE_NUM,PAYEE_NAME,PAYEE_STREET,PAYEE_CITY,PAYEE_STATE,DISBURSEMENT_DESCRIPTION,DISBURSEMENT_DATE,COMMUNICATION_DATE,PUBLIC_DISBURSEMENT_DATE,REPORTED_DISBURSEMENT_AMOUNT,NUMBER_OF_CANDIDATES,CALCULATED_CANDIDATE_SHARE
"P80003338","OBAMA, BARACK","P","US","00","C30002166","AFRICAN AMERICAN VOTER REGISTRATION EDUCATION AND PARTICIPATION PROJECT","12961236034","KJLH RADIO","161 N LABREA AV","INGLEWOOD","CA","YES ON PROP 30 (VER 1) YES ON PROP 30 (VER 2) NO ON PROP 32","30-OCT-12","31-OCT-12","31-OCT-12","25000","1","25000"
"S6PA00217","CASEY, ROBERT P JR","S","PA","00","C30002109","AMERICA CONTINUES INC","12961013874","MARKETEL MEDIA INC.","111 WINDEL DRIVE SUITE 201","RALEIGH","NC","RADIO AD","24-OCT-12","24-OCT-12","24-OCT-12","4444","1","4444"
"S6OH00163","BROWN, SHERROD","S","OH","00","C30002109","AMERICA CONTINUES INC","12961013874","MARKETEL MEDIA INC.","111 WINDEL DRIVE SUITE 201","RALEIGH","NC","RADIO AD","24-OCT-12","25-OCT-12","24-OCT-12","4163","1","4163"
"S2WI00219","BALDWIN, TAMMY","S","WI","00","C30002109","AMERICA CONTINUES INC","12961013875","MARKETEL MEDIA INC.","111 WINDEL DRIVE SUITE 201","RALEIGH","NC","RADIO AD","24-OCT-12","25-OCT-12","24-OCT-12","3549","1","3549"
"S8MI00281","STABENOW, DEBBIE","S","MI","00","C30002109","AMERICA CONTINUES INC","12961013875","MARKETEL MEDIA INC.","111 WINDEL DRIVE SUITE 201","RALEIGH","NC","RADIO AD","24-OCT-12","25-OCT-12","24-OCT-12","2061.64","1","2061.64"
"S6MO00305","MCCASKILL, CLAIRE","S","MO","00","C30002109","AMERICA CONTINUES INC","12961013876","MARKETEL MEDIA INC.","111 WINDEL DRIVE SUITE 201","RALEIGH","NC","RADIO AD","24-OCT-12","25-OCT-12","24-OCT-12","1886","1","1886"
"S8FL00166","NELSON, BILL","S","FL","00","C30002109","AMERICA CONTINUES INC","12961013876","MARKETEL MEDIA INC.","111 WINDEL DRIVE SUITE 201","RALEIGH","NC","RADIO AD","24-OCT-12","25-OCT-12","24-OCT-12","1069.12","1","1069.12"
"P80003338","OBAMA, BARACK","P","US","00","C30001952","AMERICAN CONSERVATIVE UNION","12970429260","AMERICAN MEDIA & ADVOCACY GROUP","815 SLATERS LAN","ALEXANDRIA","VA","RADIO AD: ACU THE BRAKES - GARDNER","06-FEB-12","07-FEB-12","07-FEB-12","1050","1","1050"
"P80003338","OBAMA, BARACK","P","US","00","C30001952","AMERICAN CONSERVATIVE UNION","12970429260","AMERICAN MEDIA & ADVOCACY GROUP","815 SLATERS LANE","ALEXANDRIA","VA","RADIO AD: ACU THE BRAKES - FLEISCHMAN","06-FEB-12","07-FEB-12","07-FEB-12","12335","1","12335"
"P80003338","OBAMA, BARACK","P","US","00","C30001952","AMERICAN CONSERVATIVE UNION","12970429261","AMERICAN MEDIA & ADVOCACY GROUP","815 SLATERS LANE","ALEXANDRIA","VA","RADIO AD: ACU THE BRAKES - FINCHER","06-FEB-12","07-FEB-12","07-FEB-12","5190","1","5190"
"H0AL02087","ROBY, MARTHA","H","AL","02","C30001952","AMERICAN CONSERVATIVE UNION","12952255852","AMERICAN MEDIA & ADVOCACY GROUP","815 SLATERS LANE","ALEXANDRIA","VA","RADIO AD: ACU THE BRAKES: ROBY","09-FEB-12","09-FEB-12","07-MAR-12","1500","2","750"
"P80003338","OBAMA, BARACK","P","US","00","C30001952","AMERICAN CONSERVATIVE UNION","12952255852","AMERICAN MEDIA & ADVOCACY GROUP","815 SLATERS LANE","ALEXANDRIA","VA","RADIO AD: ACU THE BRAKES: ROBY","09-FEB-12","09-FEB-12","07-MAR-12","1500","2","750"
"H0MS04120","PALAZZO, STEVEN MCCARTY","H","MS","04","C30001952","AMERICAN CONSERVATIVE UNION","12952255852","AMERICAN MEDIA & ADVOCACY GROUP","815 SLATERS LANE","ALEXANDRIA","VA","RADIO AD - ACU THE BRAKES: PALAZZO","12-FEB-12","12-FEB-12","07-MAR-12","1892","2","946"
"P80003338","OBAMA, BARACK","P","US","00","C30001952","AMERICAN CONSERVATIVE UNION","12952255852","AMERICAN MEDIA & ADVOCACY GROUP","815 SLATERS LANE","ALEXANDRIA","VA","RADIO AD - ACU THE BRAKES: PALAZZO","12-FEB-12","12-FEB-12","07-MAR-12","1892","2","946"
"P80003338","OBAMA, BARACK","P","US","00","C30001952","AMERICAN CONSERVATIVE UNION","12952255853","AMERICAN MEDIA & ADVOCACY GROUP","815 SLATERS LANE","ALEXANDRIA","VA","RADIO AD - ACU THE BRAKES","12-FEB-12","12-FEB-12","07-MAR-12","2637","1","2637"
"H0IL17059","SCHILLING, ROBERT T.","H","IL","17","C30001952","AMERICAN CONSERVATIVE UNION","12952255853","AMERICAN MEDIA & ADVOCACY GROUP","815 SLATERS LANE","ALEXANDRIA","VA","RADIO AD - ACU THE BRAKES: SCHILLING","19-FEB-12","19-DEC-12","07-MAR-12","1560","2","780"
"P80003338","OBAMA, BARACK","P","US","00","C30001952","AMERICAN CONSERVATIVE UNION","12952255853","AMERICAN MEDIA & ADVOCACY GROUP","815 SLATERS LANE","ALEXANDRIA","VA","RADIO AD - ACU THE BRAKES: SCHILLING","19-FEB-12","19-DEC-12","07-MAR-12","1560","2","780"
"P80003338","OBAMA, BARACK","P","US","00","C30001952","AMERICAN CONSERVATIVE UNION","12952255854","METZER MEDIA SERVICES INC.","600 FAIRMOUNT AVE","TOWSON","MD","RADIO AD - ACU THE BRAKES: BACHUS","07-MAR-12","07-MAR-12","07-MAR-12","8000","2","4000"
"H2AL06035","BACHUS, SPENCER T III","H","AL","06","C30001952","AMERICAN CONSERVATIVE UNION","12952255854","METZER MEDIA SERVICES INC.","600 FAIRMOUNT AVE","TOWSON","MD","RADIO AD - ACU THE BRAKES: BACHUS","07-MAR-12","07-MAR-12","07-MAR-12","8000","2","4000"
"P80003338","OBAMA, BARACK","P","US","00","C30001176","AMERICAN ENERGY ALLIANCE","12954345404","MENTZER MEDIA SERVICES INC.","600 FAIRMONT AVENUE","TOWSON","MD","TELEVISION AD BUY - STAND WITH COAL","12-APR-12","13-OCT-12","13-OCT-12","100800","1","100800"
"P80003338","OBAMA, BARACK","P","US","00","C30001176","AMERICAN ENERGY ALLIANCE","12954345404","MENTZER MEDIA SERVICES INC.","600 FAIRMONT AVENUE","TOWSON","MD","TELEVISION AD BUY - STAND WITH COAL","13-OCT-12","13-OCT-12","13-OCT-12","471000","1","471000"
"P80003338","OBAMA, BARACK","P","US","00","C30001176","AMERICAN ENERGY ALLIANCE","12954459419","REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","RADIO AD BUY - STAND WITH COAL","11-OCT-12","17-OCT-12","17-OCT-12","500700","1","500700"
"P80003338","OBAMA, BARACK","P","US","00","C30001176","AMERICAN ENERGY ALLIANCE","12954459419","ANGLER LLC","1100 G STREET NW","WASHINGTON","DC","ONLINE AD BUY - STAND WITH COAL","17-OCT-12","17-OCT-12","17-OCT-12","75000","1","75000"
