CANDIDATE_ID,CANDIDATE_NAME,CANDIDATE_OFFICE,CANDIDATE_STATE,CANDIDATE_DISTRICT,COMMITTEE_ID,COMMITTEE_NAME,SB_IMAGE_NUM,PAYEE_NAME,PAYEE_STREET,PAYEE_CITY,PAYEE_STATE,DISBURSEMENT_DESCRIPTION,DISBURSEMENT_DATE,COMMUNICATION_DATE,PUBLIC_DISBURSEMENT_DATE,REPORTED_DISBURSEMENT_AMOUNT,NUMBER_OF_CANDIDATES,CALCULATED_CANDIDATE_SHARE
"","","","","","C30002679","45COMMITTEE INC.","201804229111719385","MENTZER MEDIA SERVICES","210 W. PENNSYLVANIA AVE.","TOWSON","MD","MEDIA PLACEMENT","20-APR-18","21-APR-18","21-APR-18","101915","1","101915"
"","","","","","C30002679","45COMMITTEE INC.","201804229111719385","MCCARTHY HENNINGS WHALEN","1850 M STREET NW","WASHINGTON","DC","MEDIA PRODUCTION","20-APR-18","21-APR-18","21-APR-18","9076.04","1","9076.04"
"","","","","","C30002679","45COMMITTEE INC.","201804229111719391","MENTZER MEDIA SERVICES","210 W. PENNSYLVANIA AVE.","TOWSON","MD","MEDIA PLACEMENT","20-APR-18","21-APR-18","21-APR-18","48017","1","48017"
"","","","","","C30002679","45COMMITTEE INC.","201804229111719391","MCCARTHY HENNINGS WHALEN","1850 M STREET NW","WASHINGTON","DC","MEDIA PRODUCTION","20-APR-18","21-APR-18","21-APR-18","8661.84","1","8661.84"
"S2IN00091","DONNELLY, JOSEPH S","S","IN","00","C30002778","AMERICA FIRST POLICIES INC.","201804249111726316","AMERICAN MEDIA & ADVOCACY GROUP","815 SLATERS LANE","ALEXANDRIA","VA","PLACED MEDIA:  CONFIRM POMPEO - INDIANA","20-APR-18","23-APR-18","23-APR-18","37038.24","1","37038.24"
"S0WV00090","MANCHIN III, JOE","S","WV","00","C30002778","AMERICA FIRST POLICIES INC.","201804249111726316","AMERICAN MEDIA & ADVOCACY GROUP","815 SLATERS LANE","ALEXANDRIA","VA","PLACED MEDIA:  CONFIRM POMPEO - WEST VIRGINIA","20-APR-18","23-APR-18","23-APR-18","13088.02","1","13088.02"
"S0WV00090","MANCHIN III, JOE","S","WV","00","C30002778","AMERICA FIRST POLICIES INC.","201804249111726317","JAMESTOWN ASSOCIATES","154 ROUTE 79 NORTH","MARLBORO","NJ","PRODUCTION COST:  CONFIRM POMPEO - WEST VIRGINIA","24-APR-18","23-APR-18","23-APR-18","6000","1","6000"
"S2IN00091","DONNELLY, JOSEPH S","S","IN","00","C30002778","AMERICA FIRST POLICIES INC.","201804249111726317","JAMESTOWN ASSOCIATES","154 ROUTE 79 NORTH","MARLBORO","NJ","PRODUCTION COST:  CONFIRM POMPEO - INDIANA","24-APR-18","23-APR-18","23-APR-18","6000","1","6000"
"S2ND00099","HEITKAMP, HEIDI","S","ND","00","C30002778","AMERICA FIRST POLICIES INC.","201805169112045044","REDPRINT STRATEGY","P.O. BOX 710993","HERNDON","VA","PRODUCTION COST: EXPERIENCED HASPEL CONFIRMATION NORTH DAKOTA","15-MAY-18","15-MAY-18","15-MAY-18","10000","1","10000"
"S2ND00099","HEITKAMP, HEIDI","S","ND","00","C30002778","AMERICA FIRST POLICIES INC.","201805169112045044","RED EAGLE MEDIA GROUP","815 SLATERS LANE","ALEXANDRIA","VA","PLACED MEDIA: EXPERIENCED HASPEL CONFIRMATION NORTH DAKOTA","14-MAY-18","15-MAY-18","15-MAY-18","173278","1","173278"
"S2NV00183","HELLER, DEAN","S","NV","00","C30002851","AMERICAN BANKERS ASSOCIATION","201809209122090454","SOMETHING ELSE STRATEGIES","212 GOLDEN WILLOW COURT","EASLEY","SC","STRONGER ELECTIONEERING COMMUNICATION - BROADCAST AND CABLE ADVERTISING","19-SEP-18","19-SEP-18","19-SEP-18","125000","1","125000"
"H0TX23086","HURD, WILLIAM","H","TX","23","C30002851","AMERICAN BANKERS ASSOCIATION","201809209123917733","SOMETHING ELSE STRATEGIES","212 GOLDEN WILLOW COURT","EASLEY","SC","ON A ROLL ELECTIONEERING COMMUNICATION - CABLE ADVERTISING","19-SEP-18","19-SEP-18","19-SEP-18","125000","1","125000"
"H6FL07140","MURPHY, STEPHANIE","H","FL","07","C30002851","AMERICAN BANKERS ASSOCIATION","201809209122071123","NP CONSULTING INC.","1250 I STREET NW SUITE 10003","WASHINGTON","DC","OPPORTUNITY ELECTIONEERING COMMUNICATION - BROADCAST AND CABLE ADVERTISING","19-SEP-18","19-SEP-18","19-SEP-18","125000","1","125000"
"","","","","","C30002851","AMERICAN BANKERS ASSOCIATION","201809279124251835","REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","A NEW DAY FOR KENTUCKYS ECONOMY ELECTIONEERING COMMUNICATION - BROADCAST AND CABLE ADVERTISING","20-SEP-18","20-SEP-18","20-SEP-18","125000","1","125000"
"","","","","","C30002851","AMERICAN BANKERS ASSOCIATION","201810039124278099","SOMETHING ELSE STRATEGIES","212 GOLDEN WILLOW COURT","EASLEY","SC","DREAM ELECTIONEERING COMMUNICATION - BROADCAST AND CABLE ADVERTISING","19-SEP-18","19-SEP-18","19-SEP-18","125000","1","125000"
"","","","","","C30002430","AMERICAN CHEMISTRY COUNCIL INC","201806299115200470","REVOLUTION AGENCY","1020 PRINCESS STREET","ALEXANDRIA","VA","TELEVISION ADVERTISEMENT: CONSERVATIVE VALUES","06-JUN-18","06-JUN-18","06-JUN-18","147465","1","147465"
"","","","","","C30002430","AMERICAN CHEMISTRY COUNCIL INC","201806299115200470","REVOLUATION AGENCY","1020 PRINCESS STREET","ALEXANDRIA","VA","TELEVISION ADVERTISEMENT: MISSISSIPPI FIRST","06-JUN-18","06-JUN-18","06-JUN-18","269121","1","269121"
"","","","","","C30002430","AMERICAN CHEMISTRY COUNCIL INC","201806299115200471","REVOLUTION AGENCY","1020 PRINCESS STREET","ALEXANDRIA","VA","TELEVISION ADVERTISEMENT: STANDING UP FOR NEVADA","06-JUN-18","06-JUN-18","06-JUN-18","348400","1","348400"
"","","","","","C30002430","AMERICAN CHEMISTRY COUNCIL INC","201807029115209021","REVOLUTION AGENCY","1020 PRINCESS STREET","ALEXANDRIA","VA","TELEVISION ADVERTISEMENT: STANDING FOR KANSAS","30-JUN-18","30-JUN-18","30-JUN-18","133534.5","1","133534.5"
"S8MS00287","ESPY, MICHAEL","S","MS","00","C30002885","AMERICAN CIVIL LIBERTIES UNION INC.","201810019124268346","JOE TRIPPI & ASSOCIATES INC.","606A N TALBOT STREET","ST. MICHAELS","MD","RADIO ADVERTISEMENT PRODUCTION EXPENSE - CHANGE THE SYSTEM","25-SEP-18","27-SEP-18","27-SEP-18","1000","1","1000"
"S8MS00287","ESPY, MICHAEL","S","MS","00","C30002885","AMERICAN CIVIL LIBERTIES UNION INC.","201810019124268346","JOE TRIPPI & ASSOCIATES INC.","606A N TALBOT STREET","ST. MICHAELS","MD","RADIO ADVERTISEMENT MEDIA BUY - CHANGE THE SYSTEM","25-SEP-18","27-SEP-18","27-SEP-18","130000","1","130000"
"S2NE00094","FISCHER, DEBRA S","S","NE","00","C30002885","AMERICAN CIVIL LIBERTIES UNION INC.","201810039124283545","JOE TRIPPI & ASSOCIATES INC.","606A N TALBOT STREET","ST. MICHAELS","MD","TV ADVERTISEMENT PRODUCTION EXPENSES - OPPOSE KAVANAUGH","30-SEP-18","02-OCT-18","02-OCT-18","5998.68","1","5998.68"
"S0WV00090","MANCHIN III, JOE","S","WV","00","C30002885","AMERICAN CIVIL LIBERTIES UNION INC.","201810039124283545","JOE TRIPPI & ASSOCIATES INC.","606A N TALBOT STREET","ST. MICHAELS","MD","TV ADVERTISEMENT PRODUCTION EXPENSES - OPPOSE KAVANAUGH","30-SEP-18","02-OCT-18","02-OCT-18","5998.68","1","5998.68"
"S2NE00094","FISCHER, DEBRA S","S","NE","00","C30002885","AMERICAN CIVIL LIBERTIES UNION INC.","201810039124283546","JOE TRIPPI & ASSOCIATES INC.","606A N TALBOT STREET","ST. MICHAELS","MD","TV ADVERTISEMENT AD BUY IN NEBRASKA - OPPOSE KAVANAUGH","30-SEP-18","02-OCT-18","02-OCT-18","243192","1","243192"
"S0WV00090","MANCHIN III, JOE","S","WV","00","C30002885","AMERICAN CIVIL LIBERTIES UNION INC.","201810039124283546","JOE TRIPPI & ASSOCIATES INC.","606A N TALBOT STREET","ST. MICHAELS","MD","TV ADVERTISEMENT AD BUY IN WEST VIRGINIA - OPPOSE KAVANAUGH","30-SEP-18","02-OCT-18","02-OCT-18","234175","1","234175"
"S8MS00261","HYDE-SMITH, CINDY","S","MS","00","C30002885","AMERICAN CIVIL LIBERTIES UNION INC.","201811189133690226","JOE TRIPPI & ASSOCIATES INC.","606A N TALBOT STREET","ST. MICHAELS","MD","RADIO ADVERTISEMENT PRODUCTION - HISTORY","16-NOV-18","17-NOV-18","17-NOV-18","1000","1","1000"
